age,job,marital,education,housing,loan,duration,campaign,pdays,previous,emp.var.rate,nr.employed,subscribe
56,housemaid,0,1,0,0,261,1,999,0,1.1,5191,0
57,services,1,4,0,0,149,1,999,0,1.1,5191,0
37,services,1,4,1.0,0,226,1,999,0,1.1,5191,0
40,admin.,1,2,0,0,151,1,999,0,1.1,5191,0
56,services,1,4,0,1,307,1,999,0,1.1,5191,0
45,services,1,3,0,0,198,1,999,0,1.1,5191,0
59,admin.,1,6,0,0,139,1,999,0,1.1,5191,0
41,blue-collar,1,-1,0,0,217,1,999,0,1.1,5191,0
24,technician,0,6,1,0,380,1,999,0,1.1,5191,0
25,services,0,4,1,0,50,1,999,0,1.1,5191,0
41,blue-collar,1,-1,0,0,55,1,999,0,1.1,5191,0
25,services,0,4,1,0,222,1,999,0,1.1,5191,0
29,blue-collar,0,4,0,1,137,1,999,0,1.1,5191,0
57,housemaid,2,1,1,0,293,1,999,0,1.1,5191,0
35,blue-collar,1,2,1,0,146,1,999,0,1.1,5191,0
54,retired,1,3,1,1,174,1,999,0,1.1,5191,0
35,blue-collar,1,2,1,0,312,1,999,0,1.1,5191,0
46,blue-collar,1,2,1,1,440,1,999,0,1.1,5191,0
50,blue-collar,1,3,1,1,353,1,999,0,1.1,5191,0
39,management,0,3,0,0,195,1,999,0,1.1,5191,0
30,unemployed,1,4,0,0,38,1,999,0,1.1,5191,0
55,blue-collar,1,1,1,0,262,1,999,0,1.1,5191,0
55,retired,0,4,1,0,342,1,999,0,1.1,5191,0
41,technician,0,4,1,0,181,1,999,0,1.1,5191,0
37,admin.,1,4,1,0,172,1,999,0,1.1,5191,0
35,technician,1,5,0,1,99,1,999,0,1.1,5191,0
59,technician,1,-1,1,0,93,1,999,0,1.1,5191,0
39,self-employed,1,3,0,0,233,1,999,0,1.1,5191,0
54,technician,0,5,0,0,255,2,999,0,1.1,5191,0
55,unknown,1,5,-1,-1,362,1,999,0,1.1,5191,0
46,admin.,1,-1,0,0,348,1,999,0,1.1,5191,0
59,technician,1,-1,1,0,386,1,999,0,1.1,5191,0
49,blue-collar,1,-1,0,0,73,1,999,0,1.1,5191,0
54,management,1,1,1,0,230,1,999,0,1.1,5191,0
54,blue-collar,2,1,0,0,208,1,999,0,1.1,5191,0
55,unknown,1,1,1,0,336,1,999,0,1.1,5191,0
34,services,1,4,0,0,365,1,999,0,1.1,5191,0
52,technician,1,3,1,0,1666,1,999,0,1.1,5191,0
41,admin.,1,5,1,0,577,1,999,0,1.1,5191,0
56,technician,1,1,1,0,137,1,999,0,1.1,5191,0
58,management,-1,5,1,0,366,1,999,0,1.1,5191,0
32,entrepreneur,1,4,1,0,314,1,999,0,1.1,5191,0
38,admin.,0,6,0,0,160,1,999,0,1.1,5191,0
57,admin.,1,5,0,1,212,1,999,0,1.1,5191,0
44,admin.,1,5,1,0,188,1,999,0,1.1,5191,0
42,technician,0,6,0,0,22,1,999,0,1.1,5191,0
57,admin.,1,5,1,1,616,1,999,0,1.1,5191,0
40,blue-collar,1,3,0,1,178,1,999,0,1.1,5191,0
35,admin.,1,5,1,0,355,1,999,0,1.1,5191,0
45,blue-collar,1,3,1,0,225,2,999,0,1.1,5191,0
54,admin.,1,4,0,0,160,1,999,0,1.1,5191,0
39,housemaid,1,1,0,1,266,1,999,0,1.1,5191,0
60,admin.,1,4,0,0,253,1,999,0,1.1,5191,0
53,admin.,0,6,0,0,179,1,999,0,1.1,5191,0
55,blue-collar,1,1,0,0,269,2,999,0,1.1,5191,0
55,technician,1,6,1,0,135,1,999,0,1.1,5191,0
50,management,1,5,0,1,161,1,999,0,1.1,5191,0
45,services,1,4,1,0,787,1,999,0,1.1,5191,0
55,unemployed,1,6,1,1,145,1,999,0,1.1,5191,0
25,technician,0,5,1,0,174,1,999,0,1.1,5191,0
47,entrepreneur,1,5,0,0,449,1,999,0,1.1,5191,0
51,blue-collar,1,3,1,0,812,1,999,0,1.1,5191,0
42,blue-collar,1,2,1,0,164,1,999,0,1.1,5191,0
42,blue-collar,1,2,0,0,366,1,999,0,1.1,5191,0
48,admin.,1,4,0,0,357,1,999,0,1.1,5191,0
37,admin.,1,5,0,0,232,1,999,0,1.1,5191,0
44,blue-collar,0,3,1,0,91,1,999,0,1.1,5191,0
33,admin.,1,-1,1,0,273,1,999,0,1.1,5191,0
56,admin.,1,3,1,0,158,2,999,0,1.1,5191,0
44,blue-collar,0,1,1,1,177,1,999,0,1.1,5191,0
41,management,1,2,0,0,200,1,999,0,1.1,5191,0
44,management,2,5,1,0,172,1,999,0,1.1,5191,0
47,admin.,1,5,1,0,176,1,999,0,1.1,5191,0
57,unknown,1,-1,0,0,211,1,999,0,1.1,5191,0
37,admin.,1,5,1,0,214,1,999,0,1.1,5191,0
41,blue-collar,2,1,1,0,1575,1,999,0,1.1,5191,1
55,technician,1,5,0,0,349,1,999,0,1.1,5191,0
33,services,1,4,1,0,337,2,999,0,1.1,5191,0
55,management,1,-1,1,0,272,1,999,0,1.1,5191,0
42,blue-collar,1,3,0,0,208,1,999,0,1.1,5191,0
50,blue-collar,1,1,1,0,193,1,999,0,1.1,5191,0
51,blue-collar,1,1,-1,-1,212,1,999,0,1.1,5191,0
38,admin.,1,4,0,0,165,2,999,0,1.1,5191,0
49,entrepreneur,1,5,1,0,1042,1,999,0,1.1,5191,1
38,technician,0,5,0,1,20,1,999,0,1.1,5191,0
31,admin.,2,4,0,0,246,1,999,0,1.1,5191,0
41,management,1,2,0,0,529,2,999,0,1.1,5191,0
39,admin.,1,5,1,1,192,1,999,0,1.1,5191,0
49,technician,1,3,0,0,1467,1,999,0,1.1,5191,1
34,admin.,1,4,1,0,188,2,999,0,1.1,5191,0
35,admin.,1,5,1,0,180,2,999,0,1.1,5191,0
57,unknown,1,-1,1,0,48,1,999,0,1.1,5191,0
60,admin.,1,-1,0,1,213,2,999,0,1.1,5191,0
33,unemployed,1,3,0,0,545,1,999,0,1.1,5191,0
42,blue-collar,1,2,0,1,583,1,999,0,1.1,5191,0
45,services,1,6,1,0,221,1,999,0,1.1,5191,0
42,management,1,5,0,0,426,1,999,0,1.1,5191,0
53,admin.,2,5,0,0,287,1,999,0,1.1,5191,0
37,technician,0,6,0,0,197,1,999,0,1.1,5191,0
44,blue-collar,1,2,0,0,257,1,999,0,1.1,5191,0
54,services,1,-1,1,0,229,1,999,0,1.1,5191,0
49,blue-collar,1,1,0,0,55,3,999,0,1.1,5191,0
54,services,1,-1,0,0,400,1,999,0,1.1,5191,0
52,admin.,2,5,0,0,197,1,999,0,1.1,5191,0
52,admin.,2,5,0,0,190,1,999,0,1.1,5191,0
43,services,0,4,0,0,21,1,999,0,1.1,5191,0
34,housemaid,1,2,1,0,300,2,999,0,1.1,5191,0
35,admin.,1,4,1,0,123,2,999,0,1.1,5191,0
42,entrepreneur,1,-1,1,0,293,1,999,0,1.1,5191,0
43,technician,1,-1,1,1,325,1,999,0,1.1,5191,0
60,retired,2,5,0,0,514,1,999,0,1.1,5191,0
58,unemployed,1,1,0,0,849,2,999,0,1.1,5191,0
35,services,2,4,1,0,194,1,999,0,1.1,5191,0
55,blue-collar,1,3,1,0,212,2,999,0,1.1,5191,0
37,management,1,5,0,0,337,2,999,0,1.1,5191,0
36,blue-collar,1,4,0,0,286,1,999,0,1.1,5191,0
52,admin.,2,5,0,0,247,2,999,0,1.1,5191,0
57,blue-collar,2,-1,1,0,518,1,999,0,1.1,5191,0
56,admin.,1,-1,1,0,364,1,999,0,1.1,5191,0
48,blue-collar,2,1,1,0,178,1,999,0,1.1,5191,0
40,blue-collar,1,4,1,0,98,1,999,0,1.1,5191,0
49,blue-collar,2,4,0,0,439,1,999,0,1.1,5191,0
41,services,1,4,0,0,139,1,999,0,1.1,5191,0
45,technician,1,4,1,0,79,1,999,0,1.1,5191,0
32,admin.,1,5,1,1,175,1,999,0,1.1,5191,0
42,admin.,1,5,0,1,262,2,999,0,1.1,5191,0
50,admin.,1,2,0,0,61,1,999,0,1.1,5191,0
31,technician,2,6,1,1,78,1,999,0,1.1,5191,0
56,retired,1,1,1,0,102,2,999,0,1.1,5191,0
41,technician,1,6,1,0,579,1,999,0,1.1,5191,1
37,blue-collar,1,2,1,1,143,1,999,0,1.1,5191,0
41,technician,1,6,0,0,677,1,999,0,1.1,5191,0
35,blue-collar,1,-1,1,0,267,1,999,0,1.1,5191,0
37,blue-collar,1,2,1,0,345,1,999,0,1.1,5191,0
52,management,1,5,0,0,185,1,999,0,1.1,5191,0
39,management,2,5,0,0,207,1,999,0,1.1,5191,0
39,housemaid,1,1,0,0,69,2,999,0,1.1,5191,0
56,blue-collar,1,1,0,0,100,2,999,0,1.1,5191,0
34,services,1,4,1,0,125,2,999,0,1.1,5191,0
45,blue-collar,1,3,1,0,461,1,999,0,1.1,5191,1
43,unemployed,0,5,1,0,240,1,999,0,1.1,5191,0
56,management,1,-1,1,0,70,1,999,0,1.1,5191,0
39,management,1,5,1,0,193,1,999,0,1.1,5191,0
53,blue-collar,1,1,1,0,136,1,999,0,1.1,5191,0
38,unknown,2,4,1,0,73,1,999,0,1.1,5191,0
42,blue-collar,1,1,1,0,528,1,999,0,1.1,5191,0
42,blue-collar,1,1,0,0,541,1,999,0,1.1,5191,0
35,admin.,0,4,1,0,338,1,999,0,1.1,5191,0
40,admin.,1,5,1,0,163,1,999,0,1.1,5191,0
51,blue-collar,1,1,1,0,87,1,999,0,1.1,5191,0
60,blue-collar,1,3,0,0,301,1,999,0,1.1,5191,0
56,entrepreneur,1,-1,1,0,46,1,999,0,1.1,5191,0
39,services,2,4,1,0,52,1,999,0,1.1,5191,0
56,entrepreneur,1,-1,0,0,204,1,999,0,1.1,5191,0
40,blue-collar,1,-1,1,1,155,1,999,0,1.1,5191,0
36,blue-collar,1,3,1,1,98,1,999,0,1.1,5191,0
51,blue-collar,1,-1,1,0,71,1,999,0,1.1,5191,0
51,blue-collar,1,-1,0,0,243,1,999,0,1.1,5191,0
43,technician,0,6,1,0,186,2,999,0,1.1,5191,0
59,services,1,4,0,0,579,2,999,0,1.1,5191,0
24,management,0,5,1,0,165,2,999,0,1.1,5191,0
37,blue-collar,0,3,1,1,163,2,999,0,1.1,5191,0
40,blue-collar,1,3,0,0,46,1,999,0,1.1,5191,0
42,blue-collar,1,3,0,0,559,3,999,0,1.1,5191,0
39,services,2,4,0,0,2033,1,999,0,1.1,5191,0
37,entrepreneur,1,2,0,0,85,1,999,0,1.1,5191,0
38,services,1,4,1,1,506,1,999,0,1.1,5191,0
56,admin.,2,-1,0,0,114,2,999,0,1.1,5191,0
40,blue-collar,1,-1,0,0,114,2,999,0,1.1,5191,0
54,management,2,5,1,0,843,2,999,0,1.1,5191,0
43,blue-collar,1,4,0,1,181,1,999,0,1.1,5191,0
36,services,1,4,0,0,427,1,999,0,1.1,5191,0
45,technician,1,5,1,1,292,1,999,0,1.1,5191,0
42,admin.,0,5,0,0,192,1,999,0,1.1,5191,0
43,services,1,4,0,0,93,3,999,0,1.1,5191,0
46,management,1,3,0,0,128,2,999,0,1.1,5191,0
44,services,1,4,1,1,107,1,999,0,1.1,5191,0
51,admin.,0,2,0,0,303,2,999,0,1.1,5191,0
28,services,1,4,1,0,81,1,999,0,1.1,5191,0
37,blue-collar,1,3,0,0,270,1,999,0,1.1,5191,0
34,technician,1,4,0,0,228,1,999,0,1.1,5191,0
46,blue-collar,1,2,1,0,240,1,999,0,1.1,5191,0
42,blue-collar,1,3,1,1,673,2,999,0,1.1,5191,1
36,admin.,1,5,1,0,233,3,999,0,1.1,5191,0
54,blue-collar,1,1,0,0,102,1,999,0,1.1,5191,0
57,management,1,5,0,0,461,1,999,0,1.1,5191,0
51,technician,1,2,0,0,250,1,999,0,1.1,5191,0
54,retired,1,4,0,0,130,1,999,0,1.1,5191,0
49,blue-collar,1,1,0,0,252,1,999,0,1.1,5191,0
34,admin.,1,5,1,0,138,1,999,0,1.1,5191,0
41,technician,1,6,0,0,412,1,999,0,1.1,5191,0
38,blue-collar,0,3,1,0,179,2,999,0,1.1,5191,0
45,management,2,5,0,0,19,2,999,0,1.1,5191,0
42,technician,1,5,0,0,228,2,999,0,1.1,5191,0
34,blue-collar,0,3,1,0,55,1,999,0,1.1,5191,0
48,blue-collar,1,1,1,0,717,1,999,0,1.1,5191,0
37,admin.,1,4,1,0,313,1,999,0,1.1,5191,0
34,blue-collar,0,3,0,0,289,1,999,0,1.1,5191,0
40,admin.,1,3,1,0,683,2,999,0,1.1,5191,0
43,blue-collar,1,2,1,0,1077,1,999,0,1.1,5191,0
33,services,1,4,0,0,146,2,999,0,1.1,5191,0
32,services,0,2,0,0,167,1,999,0,1.1,5191,0
39,blue-collar,1,4,1,0,356,2,999,0,1.1,5191,0
43,admin.,1,-1,0,0,277,1,999,0,1.1,5191,0
44,blue-collar,1,3,1,0,172,1,999,0,1.1,5191,0
35,student,0,5,0,0,218,1,999,0,1.1,5191,0
35,student,0,5,1,1,217,1,999,0,1.1,5191,0
35,unemployed,1,6,0,0,67,1,999,0,1.1,5191,0
36,services,0,1,0,0,291,1,999,0,1.1,5191,0
35,student,0,5,1,0,248,1,999,0,1.1,5191,0
36,student,0,3,1,0,256,1,999,0,1.1,5191,0
55,housemaid,2,5,0,0,286,1,999,0,1.1,5191,0
59,admin.,1,5,0,0,477,1,999,0,1.1,5191,0
57,retired,1,-1,0,0,611,2,999,0,1.1,5191,0
39,blue-collar,1,6,1,0,471,1,999,0,1.1,5191,0
39,housemaid,1,1,1,0,381,2,999,0,1.1,5191,0
30,blue-collar,0,-1,1,0,251,1,999,0,1.1,5191,0
30,blue-collar,0,-1,1,1,408,1,999,0,1.1,5191,0
50,housemaid,1,1,0,0,287,1,999,0,1.1,5191,0
40,services,1,4,0,0,322,3,999,0,1.1,5191,0
35,admin.,1,4,1,0,216,2,999,0,1.1,5191,0
43,technician,1,-1,0,0,366,2,999,0,1.1,5191,0
36,services,0,2,1,0,210,1,999,0,1.1,5191,0
46,technician,1,1,1,0,288,1,999,0,1.1,5191,0
40,technician,1,3,0,0,168,1,999,0,1.1,5191,0
58,retired,1,5,0,0,132,1,999,0,1.1,5191,0
42,technician,1,5,0,0,64,2,999,0,1.1,5191,0
35,admin.,0,5,0,0,209,2,999,0,1.1,5191,0
43,retired,1,1,0,0,410,3,999,0,1.1,5191,0
45,blue-collar,1,1,1,1,177,1,999,0,1.1,5191,0
39,admin.,1,6,1,0,580,2,999,0,1.1,5191,0
50,services,2,6,1,0,165,1,999,0,1.1,5191,0
32,management,2,1,1,0,127,2,999,0,1.1,5191,0
39,admin.,1,4,0,0,357,1,999,0,1.1,5191,0
52,self-employed,1,5,0,0,175,1,999,0,1.1,5191,0
44,admin.,1,6,1,0,300,1,999,0,1.1,5191,0
56,blue-collar,1,1,0,0,136,1,999,0,1.1,5191,0
48,admin.,1,4,0,0,125,2,999,0,1.1,5191,0
33,services,1,4,0,1,189,2,999,0,1.1,5191,0
43,management,1,5,0,1,213,3,999,0,1.1,5191,0
57,retired,1,4,0,0,238,2,999,0,1.1,5191,0
36,technician,0,6,0,0,124,1,999,0,1.1,5191,0
34,management,1,5,1,0,18,1,999,0,1.1,5191,0
34,services,0,3,0,0,730,2,999,0,1.1,5191,0
30,technician,1,5,0,0,40,1,999,0,1.1,5191,0
33,services,2,-1,0,0,181,2,999,0,1.1,5191,0
32,technician,0,6,0,0,79,1,999,0,1.1,5191,0
36,technician,0,4,1,0,142,2,999,0,1.1,5191,0
36,blue-collar,0,4,0,1,389,1,999,0,1.1,5191,0
33,services,0,4,0,0,702,1,999,0,1.1,5191,0
40,technician,2,6,0,0,151,1,999,0,1.1,5191,0
41,blue-collar,1,1,1,0,211,1,999,0,1.1,5191,0
51,services,1,2,1,0,117,1,999,0,1.1,5191,0
36,technician,1,6,1,0,232,3,999,0,1.1,5191,0
28,services,1,-1,0,0,408,2,999,0,1.1,5191,0
53,services,1,4,1,1,370,3,999,0,1.1,5191,0
58,blue-collar,1,3,1,0,179,2,999,0,1.1,5191,0
45,management,1,3,0,1,46,1,999,0,1.1,5191,0
43,technician,1,-1,1,0,200,1,999,0,1.1,5191,0
33,admin.,1,4,0,1,50,1,999,0,1.1,5191,0
33,admin.,1,4,0,1,181,1,999,0,1.1,5191,0
27,blue-collar,0,2,-1,-1,119,1,999,0,1.1,5191,0
42,technician,1,4,0,0,361,1,999,0,1.1,5191,0
43,admin.,2,3,0,0,73,3,999,0,1.1,5191,0
42,admin.,1,5,0,0,67,2,999,0,1.1,5191,0
27,blue-collar,0,2,0,0,350,1,999,0,1.1,5191,0
34,self-employed,0,5,1,0,150,2,999,0,1.1,5191,0
31,student,0,5,0,0,332,2,999,0,1.1,5191,0
54,management,2,5,0,0,611,2,999,0,1.1,5191,0
40,self-employed,1,1,0,0,58,3,999,0,1.1,5191,0
52,unemployed,1,4,1,0,151,1,999,0,1.1,5191,0
47,management,2,5,0,0,89,2,999,0,1.1,5191,0
